Name | DisplayOrder
Soup 浓汤 | 1
Appetizer 小吃 | 2
Janxden Special 店里招牌 | 3
Pizza 披萨 (25-30 Minutes Preparation Time) | 4
Pasta 意大利面 | 5
Soup Noodle 汤面 | 6
Asian Fried Rice 炒饭 | 7
Nasi Lemak 椰浆饭 | 8
Porridge 粥 | 9
Low Carb Diet 低碳水化合物套餐 | 10
Japanese Temptation 日系餐点 | 11
Mexican Kitchen 墨西哥小厨 | 12
Kid's Meal 孩子套餐 (Ages 3-10) | 13
Add On 另加 | 14
Milk Tea 奶茶 | 15
Ice Blended 冰沙 | 16
Fresh Blended Juice 现搅果汁 | 17
Fruit Juice 果汁 (with sugar 有糖) | 18
Others 其他饮品 | 19
Freshly Grind Coffee 现磨咖啡 | 20
Hot Tea 热茶 | 21
Protein Smoothie | 22
Coffee Mocktail 咖啡特调 | 23
Special Made Toufu Hua 冷豆花 | 24
Cakes & Pastry 蛋糕 | 25
